MapId,Win Rate,Loss Rate,Draw Rate
9410866,537,387,76
1001684844,532,416,52
1244775560,632,171,197
1519956552,530,432,38
1236104547,332,526,142
859324793,431,266,303
1174499512,674,233,93
583137230,663,331,6
1158359775,573,403,24
781578896,242,580,178
1399845846,358,255,387
678776700,689,265,46
2024199456,537,427,36
167668122,658,310,32
1905428442,545,272,183
2109321381,584,117,299
1621780891,614,321,65
1070443552,704,260,36
1518004195,327,637,36
843622623,400,468,132
1844379113,541,441,18
1162915042,334,528,138
1817104937,580,411,9
491863306,569,351,80
1920898221,451,467,82
687839642,523,462,15
436105090,594,380,26
621195317,682,223,95
2080941818,161,149,690
100536070,369,561,70
703288847,430,539,31
1670052591,512,337,151
505931429,568,411,21
622823946,756,208,36
1655254395,492,485,23
652843497,424,532,44
562748920,548,414,38
951325529,209,782,9
325011876,543,433,24
332048555,575,336,89
1861950242,280,338,382
522852443,482,509,9
505539750,713,269,18
1318544183,469,518,13
1777199057,532,334,134
1871653784,507,458,35
2138312853,339,561,100
551041036,435,446,119
821083972,440,456,104
1954619280,523,363,114
938435460,290,391,319
1219477967,46,52,902
480658257,740,227,33
1082517404,373,517,110
1885067810,75,64,38

